date,category,actual,trend,seasonal,residual,z_score,is_anomaly
2024-01-01,Checking or savings account,11,23.19,-9.62,-2.57,-0.33,False
2024-01-02,Checking or savings account,27,24.29,4.95,-2.24,-0.28,False
2024-01-03,Checking or savings account,37,25.3,10.83,0.87,0.15,False
2024-01-04,Checking or savings account,47,26.24,19.94,0.82,0.14,False
2024-01-05,Checking or savings account,31,27.1,2.09,1.81,0.28,False
2024-01-06,Checking or savings account,21,27.88,-7.91,1.03,0.17,False
2024-01-07,Checking or savings account,8,28.6,-22.18,1.58,0.25,False
2024-01-08,Checking or savings account,32,29.18,-5.86,8.67,1.22,False
2024-01-09,Checking or savings account,41,28.94,4.68,7.38,1.05,False
2024-01-10,Checking or savings account,40,28.5,10.24,1.26,0.2,False
2024-01-11,Checking or savings account,43,27.79,18.12,-2.91,-0.37,False
2024-01-12,Checking or savings account,28,27.09,2.87,-1.96,-0.24,False
2024-01-13,Checking or savings account,16,26.88,-10.03,-0.85,-0.09,False
2024-01-14,Checking or savings account,2,27.4,-21.98,-3.42,-0.44,False
2024-01-15,Checking or savings account,8,28.67,-2.09,-18.58,-2.53,True
2024-01-16,Checking or savings account,18,30.12,4.55,-16.67,-2.27,False
2024-01-17,Checking or savings account,38,31.33,9.81,-3.14,-0.4,False
2024-01-18,Checking or savings account,58,32.44,16.0,9.55,1.34,False
2024-01-19,Checking or savings account,52,33.75,3.56,14.69,2.05,False
2024-01-20,Checking or savings account,25,34.92,-12.08,2.15,0.33,False
2024-01-21,Checking or savings account,19,35.44,-21.88,5.44,0.78,False
2024-01-22,Checking or savings account,37,35.56,2.22,-0.78,-0.08,False
2024-01-23,Checking or savings account,36,35.32,4.2,-3.52,-0.46,False
2024-01-24,Checking or savings account,59,34.8,9.26,14.94,2.09,False
2024-01-25,Checking or savings account,50,34.47,14.46,1.08,0.18,False
2024-01-26,Checking or savings account,40,34.41,4.52,1.07,0.18,False
2024-01-27,Checking or savings account,16,34.52,-13.53,-4.99,-0.66,False
2024-01-28,Checking or savings account,10,34.76,-21.04,-3.72,-0.48,False
2024-01-29,Checking or savings account,40,35.02,3.2,1.79,0.28,False
2024-01-30,Checking or savings account,42,35.28,3.57,3.15,0.46,False
2024-01-31,Checking or savings account,48,35.55,9.23,3.22,0.47,False
2024-02-01,Checking or savings account,46,35.76,11.68,-1.44,-0.17,False
2024-02-02,Checking or savings account,41,35.74,6.82,-1.55,-0.19,False
2024-02-03,Checking or savings account,23,35.4,-13.63,1.23,0.2,False
2024-02-04,Checking or savings account,17,34.84,-21.28,3.45,0.5,False
2024-02-05,Checking or savings account,38,34.2,3.95,-0.15,0.01,False
2024-02-06,Checking or savings account,37,33.54,4.19,-0.73,-0.07,False
2024-02-07,Checking or savings account,41,32.83,8.81,-0.64,-0.06,False
2024-02-08,Checking or savings account,41,32.09,8.41,0.5,0.1,False
2024-02-09,Checking or savings account,41,31.33,8.91,0.76,0.13,False
2024-02-10,Checking or savings account,16,30.66,-12.58,-2.09,-0.26,False
2024-02-11,Checking or savings account,8,30.25,-22.09,-0.16,0.01,False
2024-02-12,Checking or savings account,34,30.15,6.12,-2.27,-0.28,False
2024-02-13,Checking or savings account,36,30.29,3.61,2.1,0.32,False
2024-02-14,Checking or savings account,34,30.58,7.44,-4.02,-0.52,False
2024-02-15,Checking or savings account,34,30.96,7.36,-4.32,-0.57,False
2024-02-16,Checking or savings account,43,31.51,9.35,2.14,0.32,False
2024-02-17,Checking or savings account,26,32.24,-12.0,5.76,0.82,False
2024-02-18,Checking or savings account,9,33.12,-22.51,-1.61,-0.19,False
2024-02-19,Checking or savings account,19,33.9,8.06,-22.96,-3.13,True
2024-02-20,Checking or savings account,33,34.49,3.47,-4.96,-0.65,False
2024-02-21,Checking or savings account,47,34.9,6.58,5.52,0.79,False
2024-02-22,Checking or savings account,43,35.18,7.65,0.18,0.05,False
2024-02-23,Checking or savings account,48,35.43,6.75,5.82,0.83,False
2024-02-24,Checking or savings account,20,35.58,-11.21,-4.38,-0.57,False
2024-02-25,Checking or savings account,11,35.39,-22.18,-2.2,-0.27,False
2024-02-26,Checking or savings account,50,35.03,9.23,5.74,0.82,False
2024-02-27,Checking or savings account,41,34.69,3.59,2.72,0.4,False
2024-02-28,Checking or savings account,35,34.41,7.6,-7.01,-0.94,False
2024-02-29,Checking or savings account,44,34.11,8.0,1.89,0.29,False
2024-03-01,Checking or savings account,32,33.78,3.78,-5.56,-0.74,False
2024-03-02,Checking or savings account,24,33.36,-11.65,2.29,0.34,False
2024-03-03,Checking or savings account,15,33.04,-20.96,2.92,0.43,False
2024-03-04,Checking or savings account,41,32.97,9.39,-1.37,-0.16,False
2024-03-05,Checking or savings account,35,32.88,5.08,-2.97,-0.38,False
2024-03-06,Checking or savings account,42,32.65,7.9,1.45,0.23,False
2024-03-07,Checking or savings account,57,32.52,7.58,16.9,2.36,False
2024-03-08,Checking or savings account,61,32.57,1.63,26.79,3.72,True
2024-03-09,Checking or savings account,22,32.69,-11.55,0.86,0.15,False
2024-03-10,Checking or savings account,12,32.81,-19.4,-1.4,-0.16,False
2024-03-11,Checking or savings account,31,32.78,8.2,-9.97,-1.34,False
2024-03-12,Checking or savings account,42,32.56,6.47,2.97,0.44,False
2024-03-13,Checking or savings account,45,32.41,7.49,5.09,0.73,False
2024-03-14,Checking or savings account,39,32.36,6.88,-0.24,-0.0,False
2024-03-15,Checking or savings account,32,32.21,1.54,-1.75,-0.21,False
2024-03-16,Checking or savings account,15,31.83,-10.33,-6.5,-0.87,False
2024-03-17,Checking or savings account,15,31.28,-19.73,3.45,0.5,False
2024-03-18,Checking or savings account,41,30.83,6.87,3.29,0.48,False
2024-03-19,Checking or savings account,37,30.68,5.86,0.46,0.09,False
2024-03-20,Checking or savings account,32,30.77,7.4,-6.17,-0.82,False
2024-03-21,Checking or savings account,35,30.9,6.4,-2.3,-0.29,False
2024-03-22,Checking or savings account,35,30.98,5.12,-1.1,-0.12,False
2024-03-23,Checking or savings account,24,31.12,-9.5,2.38,0.36,False
2024-03-24,Checking or savings account,10,31.48,-21.65,0.17,0.05,False
2024-03-25,Checking or savings account,39,32.01,5.96,1.03,0.17,False
2024-03-26,Checking or savings account,52,32.46,5.12,14.42,2.02,False
2024-03-27,Checking or savings account,38,32.66,6.64,-1.29,-0.15,False
2024-03-28,Checking or savings account,40,32.64,7.0,0.36,0.08,False
2024-03-29,Checking or savings account,44,32.66,7.99,3.35,0.49,False
2024-03-30,Checking or savings account,25,32.89,-8.09,0.2,0.06,False
2024-03-31,Checking or savings account,8,33.33,-23.63,-1.7,-0.2,False
2024-04-01,Checking or savings account,34,33.84,4.07,-3.91,-0.51,False
2024-04-02,Checking or savings account,34,34.23,5.47,-5.69,-0.76,False
2024-04-03,Checking or savings account,47,34.64,6.73,5.63,0.81,False
2024-04-04,Checking or savings account,46,35.12,7.3,3.58,0.52,False
2024-04-05,Checking or savings account,60,35.62,9.07,15.31,2.14,False
2024-04-06,Checking or savings account,14,36.13,-8.34,-13.79,-1.87,False
2024-04-07,Checking or savings account,9,36.55,-24.15,-3.4,-0.44,False
2024-04-08,Checking or savings account,43,36.67,1.88,4.45,0.64,False
2024-04-09,Checking or savings account,45,36.55,7.12,1.33,0.21,False
2024-04-10,Checking or savings account,41,36.59,7.74,-3.33,-0.43,False
2024-04-11,Checking or savings account,41,36.73,7.2,-2.93,-0.37,False
2024-04-12,Checking or savings account,47,36.77,9.11,1.12,0.18,False
2024-04-13,Checking or savings account,30,36.7,-9.89,3.19,0.47,False
2024-04-14,Checking or savings account,15,36.52,-23.79,2.27,0.34,False
2024-04-15,Checking or savings account,32,36.28,0.58,-4.85,-0.64,False
2024-04-16,Checking or savings account,52,35.97,10.17,5.86,0.84,False
2024-04-17,Checking or savings account,43,35.59,8.82,-1.41,-0.17,False
2024-04-18,Checking or savings account,43,35.12,6.12,1.75,0.27,False
2024-04-19,Checking or savings account,40,34.67,8.0,-2.68,-0.34,False
