date,category,complaint_count
2024-01-01,Checking or savings account,11
2024-01-01,"Money transfer, virtual currency, or money service",2
2024-01-02,Checking or savings account,27
2024-01-02,"Money transfer, virtual currency, or money service",7
2024-01-03,Checking or savings account,37
2024-01-03,"Money transfer, virtual currency, or money service",5
2024-01-04,Checking or savings account,47
2024-01-04,"Money transfer, virtual currency, or money service",5
2024-01-05,Checking or savings account,31
2024-01-05,"Money transfer, virtual currency, or money service",10
2024-01-06,Checking or savings account,21
2024-01-06,"Money transfer, virtual currency, or money service",6
2024-01-07,Checking or savings account,8
2024-01-07,"Money transfer, virtual currency, or money service",1
2024-01-08,Checking or savings account,32
2024-01-08,"Money transfer, virtual currency, or money service",5
2024-01-09,Checking or savings account,41
2024-01-09,"Money transfer, virtual currency, or money service",11
2024-01-10,Checking or savings account,40
2024-01-10,"Money transfer, virtual currency, or money service",12
2024-01-11,Checking or savings account,43
2024-01-11,"Money transfer, virtual currency, or money service",16
2024-01-12,Checking or savings account,28
2024-01-12,"Money transfer, virtual currency, or money service",6
2024-01-13,Checking or savings account,16
2024-01-13,"Money transfer, virtual currency, or money service",2
2024-01-14,Checking or savings account,2
2024-01-14,"Money transfer, virtual currency, or money service",0
2024-01-15,Checking or savings account,8
2024-01-15,"Money transfer, virtual currency, or money service",0
2024-01-16,Checking or savings account,18
2024-01-16,"Money transfer, virtual currency, or money service",3
2024-01-17,Checking or savings account,38
2024-01-17,"Money transfer, virtual currency, or money service",7
2024-01-18,Checking or savings account,58
2024-01-18,"Money transfer, virtual currency, or money service",17
2024-01-19,Checking or savings account,52
2024-01-19,"Money transfer, virtual currency, or money service",2
2024-01-20,Checking or savings account,25
2024-01-20,"Money transfer, virtual currency, or money service",8
2024-01-21,Checking or savings account,19
2024-01-21,"Money transfer, virtual currency, or money service",4
2024-01-22,Checking or savings account,37
2024-01-22,"Money transfer, virtual currency, or money service",14
2024-01-23,Checking or savings account,36
2024-01-23,"Money transfer, virtual currency, or money service",12
2024-01-24,Checking or savings account,59
2024-01-24,"Money transfer, virtual currency, or money service",11
2024-01-25,Checking or savings account,50
2024-01-25,"Money transfer, virtual currency, or money service",9
2024-01-26,Checking or savings account,40
2024-01-26,"Money transfer, virtual currency, or money service",6
2024-01-27,Checking or savings account,16
2024-01-27,"Money transfer, virtual currency, or money service",2
2024-01-28,Checking or savings account,10
2024-01-28,"Money transfer, virtual currency, or money service",1
2024-01-29,Checking or savings account,40
2024-01-29,"Money transfer, virtual currency, or money service",8
2024-01-30,Checking or savings account,42
2024-01-30,"Money transfer, virtual currency, or money service",7
2024-01-31,Checking or savings account,48
2024-01-31,"Money transfer, virtual currency, or money service",10
2024-02-01,Checking or savings account,46
2024-02-01,"Money transfer, virtual currency, or money service",11
2024-02-02,Checking or savings account,41
2024-02-02,"Money transfer, virtual currency, or money service",9
2024-02-03,Checking or savings account,23
2024-02-03,"Money transfer, virtual currency, or money service",0
2024-02-04,Checking or savings account,17
2024-02-04,"Money transfer, virtual currency, or money service",4
2024-02-05,Checking or savings account,38
2024-02-05,"Money transfer, virtual currency, or money service",5
2024-02-06,Checking or savings account,37
2024-02-06,"Money transfer, virtual currency, or money service",13
2024-02-07,Checking or savings account,41
2024-02-07,"Money transfer, virtual currency, or money service",7
2024-02-08,Checking or savings account,41
2024-02-08,"Money transfer, virtual currency, or money service",7
2024-02-09,Checking or savings account,41
2024-02-09,"Money transfer, virtual currency, or money service",4
2024-02-10,Checking or savings account,16
2024-02-10,"Money transfer, virtual currency, or money service",2
2024-02-11,Checking or savings account,8
2024-02-11,"Money transfer, virtual currency, or money service",2
2024-02-12,Checking or savings account,34
2024-02-12,"Money transfer, virtual currency, or money service",5
2024-02-13,Checking or savings account,36
