date,institution,category,complaint_count
2024-01-01,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-01-01,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-01,JPMORGAN CHASE & CO.,Checking or savings account,7
2024-01-01,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",0
2024-01-02,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,16
2024-01-02,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-01-02,JPMORGAN CHASE & CO.,Checking or savings account,11
2024-01-02,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-01-03,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,19
2024-01-03,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-03,JPMORGAN CHASE & CO.,Checking or savings account,18
2024-01-03,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-01-04,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,22
2024-01-04,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",4
2024-01-04,JPMORGAN CHASE & CO.,Checking or savings account,25
2024-01-04,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-01-05,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,15
2024-01-05,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-01-05,JPMORGAN CHASE & CO.,Checking or savings account,16
2024-01-05,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",5
2024-01-06,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4
2024-01-06,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",3
2024-01-06,JPMORGAN CHASE & CO.,Checking or savings account,17
2024-01-06,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-01-07,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,3
2024-01-07,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",0
2024-01-07,JPMORGAN CHASE & CO.,Checking or savings account,5
2024-01-07,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",1
2024-01-08,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,11
2024-01-08,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2
2024-01-08,JPMORGAN CHASE & CO.,Checking or savings account,21
2024-01-08,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",3
2024-01-09,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,19
2024-01-09,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",5
2024-01-09,JPMORGAN CHASE & CO.,Checking or savings account,22
2024-01-09,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-01-10,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,17
2024-01-10,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",6
2024-01-10,JPMORGAN CHASE & CO.,Checking or savings account,23
2024-01-10,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",6
2024-01-11,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,24
2024-01-11,"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",8
2024-01-11,JPMORGAN CHASE & CO.,Checking or savings account,19
2024-01-11,JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",8
